,country,continent,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,cases/1M_pop,deaths/1M_pop,total_tests,tests/1M_pop,population,Date
0,China,Asia,"82,995",+2,"4,634 ",,"78,288",73,4,58,3,,,"1,439,323,776 ",2020-05-28
1,USA,North America,"1,768,461","+22,658","103,330 ","+1,223","498,725","1,166,406","17,202","5,346",312,"16,331,312","49,365","330,827,597",2020-05-28
2,Brazil,South America,"438,812","+24,151","26,764 ","+1,067","193,181","218,867","8,318","2,066",126,"871,839","4,104","212,422,152",2020-05-28
3,Russia,Europe,"379,051","+8,371","4,142 ",+174,"150,993","223,916","2,300","2,598",28,"9,701,280","66,479","145,928,996",2020-05-28
4,Spain,Europe,"284,986","+1,137","27,119 ",+1,"196,958","60,909",854,"6,096",580,"3,556,567","76,071","46,753,197",2020-05-28
5,UK,Europe,"269,127","+1,887","37,837 ",+377,,,"1,559","3,966",558,"3,918,079","57,743","67,853,964",2020-05-28
6,Italy,Europe,"231,732",+593,"33,142 ",+70,"150,604","47,986",489,"3,832",548,"3,683,144","60,909","60,469,504",2020-05-28
7,France,Europe,"186,238","+3,325","28,662 ",+66,"67,191","90,385","1,429","2,854",439,"1,384,633","21,217","65,260,761",2020-05-28
8,Germany,Europe,"182,452",+557,"8,570 ",+37,"163,200","10,682",744,"2,178",102,"3,952,971","47,194","83,760,156",2020-05-28
9,India,Asia,"165,386","+7,300","4,711 ",+177,"70,920","89,755","8,944",120,3,"3,362,136","2,439","1,378,752,175",2020-05-28
10,Turkey,Asia,"160,979","+1,182","4,461 ",+30,"124,369","32,149",683,"1,911",53,"1,928,209","22,885","84,254,857",2020-05-28
11,Iran,Asia,"143,849","+2,258","7,627 ",+63,"112,988","23,234","2,543","1,715",91,"876,492","10,448","83,892,015",2020-05-28
12,Peru,South America,"141,779","+5,874","4,099 ",+116,"59,442","78,238",926,"4,306",124,"928,797","28,207","32,928,451",2020-05-28
13,Canada,North America,"88,512",+993,"6,877 ",+112,"46,840","34,795","1,613","2,347",182,"1,585,235","42,036","37,711,800",2020-05-28
14,Chile,South America,"86,943","+4,654",890 ,+49,"36,150","49,903","1,289","4,552",47,"530,173","27,756","19,101,165",2020-05-28
15,Saudi Arabia,Asia,"80,185","+1,644",441 ,+16,"54,553","25,191",384,"2,307",13,"770,696","22,171","34,762,153",2020-05-28
16,Mexico,North America,"78,023","+3,463","8,597 ",+463,"54,383","15,043",378,606,67,"244,858","1,901","128,807,241",2020-05-28
17,Pakistan,Asia,"61,227","+2,076","1,260 ",+35,"20,231","39,736",111,278,6,"508,086","2,305","220,474,171",2020-05-28
18,Belgium,Europe,"57,849",+257,"9,388 ",+24,"15,572","32,889",208,"4,993",810,"818,807","70,678","11,585,114",2020-05-28
19,Qatar,Asia,"50,914","+1,967",33 ,+3,"15,399","35,482",214,"17,701",11,"207,033","71,977","2,876,377",2020-05-28
20,Netherlands,Europe,"45,950",+182,"5,903 ",+32,,,182,"2,682",345,"342,681","20,003","17,131,525",2020-05-28
21,Bangladesh,Asia,"40,321","+2,029",559 ,+15,"8,425","31,337",1,245,3,"275,776","1,676","164,537,836",2020-05-28
22,Belarus,Europe,"39,858",+902,219 ,+5,"16,660","22,979",92,"4,218",23,"499,249","52,833","9,449,593",2020-05-28
23,Ecuador,South America,"38,471",+368,"3,313 ",+38,"18,425","16,733",220,"2,184",188,"110,812","6,290","17,617,555",2020-05-28
24,Sweden,Europe,"35,727",+639,"4,266 ",+46,"4,971","26,490",280,"3,540",423,"238,800","23,659","10,093,573",2020-05-28
25,Singapore,Asia,"33,249",+373,23 ,,"18,294","14,932",7,"5,687",4,"334,691","57,250","5,846,144",2020-05-28
26,UAE,Asia,"32,532",+563,258 ,+3,"16,685","15,589",1,"3,293",26,"2,110,493","213,629","9,879,229",2020-05-28
27,Portugal,Europe,"31,596",+304,"1,369 ",+13,"18,637","11,590",65,"3,098",134,"778,698","76,349","10,199,255",2020-05-28
28,Switzerland,Europe,"30,796",+20,"1,919 ",+2,"28,300",577,36,"3,561",222,"385,822","44,610","8,648,865",2020-05-28
29,South Africa,Africa,"27,403","+1,466",577 ,+25,"14,370","12,456",128,463,10,"655,723","11,069","59,238,562",2020-05-28
30,Colombia,South America,"25,366","+1,262",822 ,+19,"6,665","17,879",136,499,16,"283,346","5,574","50,832,596",2020-05-28
31,Ireland,Europe,"24,841",+38,"1,639 ",+8,"22,089","1,113",47,"5,036",332,"325,795","66,049","4,932,656",2020-05-28
32,Indonesia,Asia,"24,538",+687,"1,496 ",+23,"6,240","16,802",,90,5,"289,906","1,061","273,255,522",2020-05-28
33,Kuwait,Asia,"24,112",+845,185 ,+10,"8,698","15,229",197,"5,654",43,"282,341","66,206","4,264,573",2020-05-28
34,Poland,Europe,"22,825",+352,"1,038 ",+10,"10,560","11,227",160,603,27,"846,732","22,371","37,850,199",2020-05-28
35,Ukraine,Europe,"22,382",+477,669 ,+11,"8,439","13,274",263,512,15,"322,746","7,376","43,755,845",2020-05-28
36,Egypt,Africa,"20,793","+1,127",845 ,+29,"5,359","14,589",41,204,8,"135,000","1,322","102,146,819",2020-05-28
37,Romania,Europe,"18,791",+197,"1,235 ",+8,"12,629","4,927",182,976,64,"410,000","21,300","19,248,434",2020-05-28
38,Israel,Asia,"16,872",+79,284 ,+3,"14,679","1,909",41,"1,834",31,"558,516","60,724","9,197,590 ",2020-05-28
39,Japan,Asia,"16,683",+32,867 ,+9,"14,147","1,669",136,132,7,"281,293","2,223","126,509,583",2020-05-28
40,Austria,Europe,"16,628",+37,668 ,+23,"15,286",674,30,"1,847",74,"427,372","47,476","9,001,768",2020-05-28
41,Dominican Republic,North America,"16,068",+345,485 ,+11,"8,952","6,631",123,"1,483",45,"74,612","6,884","10,837,859",2020-05-28
42,Philippines,Asia,"15,588",+539,921 ,+17,"3,598","11,069",81,142,8,"323,819","2,959","109,443,743",2020-05-28
43,Argentina,South America,"14,702",+769,508 ,+8,"4,617","9,577",171,326,11,"145,081","3,213","45,157,642",2020-05-28
44,Afghanistan,Asia,"13,036",+580,235 ,+8,"1,209","11,592",19,336,6,"34,903",899,"38,841,361",2020-05-28
45,Panama,North America,"12,131",+403,320 ,+5,"7,379","4,432",72,"2,816",74,"63,202","14,670","4,308,282",2020-05-28
46,Denmark,Europe,"11,512",+32,568 ,+3,"10,180",764,20,"1,988",98,"583,052","100,693","5,790,388",2020-05-28
47,S. Korea,Asia,"11,344",+79,269 ,,"10,340",735,15,221,5,"868,666","16,945","51,265,321",2020-05-28
48,Serbia,Europe,"11,300",+25,241 ,+1,"6,438","4,621",9,"1,293",28,"234,019","26,775","8,740,364",2020-05-28
49,Bahrain,Asia,"10,052",+360,15 ,,"5,419","4,618",9,"5,929",9,"297,873","175,706","1,695,292",2020-05-28
50,Kazakhstan,Asia,"9,576",+272,37 ,,"4,900","4,639",62,511,2,"735,273","39,203","18,755,722",2020-05-28
51,Czechia,Europe,"9,140",+54,319 ,+2,"6,460","2,361",21,854,30,"424,423","39,639","10,707,231",2020-05-28
52,Oman,Asia,"9,009",+636,40 ,+1,"2,177","6,792",31,"1,769",8,"72,000","14,136","5,093,528",2020-05-28
53,Algeria,Africa,"8,997",+140,630 ,+7,"5,277","3,090",32,206,14,,,"43,774,437",2020-05-28
54,Nigeria,Africa,"8,915",+182,259 ,+5,"2,592","6,064",7,43,1,"49,966",243,"205,626,178",2020-05-28
55,Norway,Europe,"8,411",+10,236 ,+1,"7,727",448,10,"1,553",44,"239,864","44,277","5,417,374",2020-05-28
56,Armenia,Asia,"8,216",+442,113 ,+15,"3,287","4,816",10,"2,773",38,"54,931","18,541","2,962,755",2020-05-28
57,Bolivia,South America,"7,768",+632,280 ,+6,689,"6,799",3,666,24,"22,294","1,912","11,657,999",2020-05-28
58,Moldova,Europe,"7,725",+188,282 ,+8,"4,123","3,320",256,"1,915",70,"40,565","10,054","4,034,769",2020-05-28
59,Morocco,Africa,"7,643",+42,202 ,,"5,195","2,246",1,207,5,"180,189","4,887","36,869,708",2020-05-28
60,Malaysia,Asia,"7,629",+10,115 ,,"6,169","1,345",8,236,4,"519,944","16,084","32,327,063",2020-05-28
61,Ghana,Africa,"7,303",,34 ,,"2,412","4,857",16,236,1,"205,890","6,640","31,009,181",2020-05-28
62,Australia,Australia/Oceania,"7,150",+11,103 ,,"6,580",467,5,281,4,"1,367,444","53,684","25,472,297",2020-05-28
63,Finland,Europe,"6,743",+51,313 ,,"5,500",930,11,"1,217",56,"176,650","31,886","5,539,963",2020-05-28
64,Iraq,Asia,"5,457",+322,179 ,+4,"2,971","2,307",41,136,4,"211,485","5,270","40,132,981",2020-05-28
65,Cameroon,Africa,"5,436",,175 ,,"1,996","3,265",28,205,7,,,"26,479,422",2020-05-28
66,Azerbaijan,Asia,"4,759",+191,56 ,+2,"3,022","1,681",42,470,6,"284,669","28,099","10,130,782",2020-05-28
67,Honduras,North America,"4,640",+239,194 ,+6,506,"3,940",13,469,20,"14,790","1,496","9,889,552",2020-05-28
68,Sudan,Africa,"4,346",+200,195 ,+11,749,"3,402",,99,4,401,9,"43,747,206",2020-05-28
69,Guatemala,North America,"4,145",+191,68 ,+5,493,"3,584",5,232,4,"31,427","1,757","17,883,425",2020-05-28
70,Luxembourg,Europe,"4,008",+7,110 ,,"3,803",95,4,"6,413",176,"71,098","113,756","625,003",2020-05-28
71,Hungary,Europe,"3,816",+23,509 ,+4,"1,996","1,311",24,395,53,"174,011","18,009","9,662,456",2020-05-28
72,Tajikistan,Asia,"3,563",+139,47 ,,"1,674","1,842",,374,5,,,"9,516,398",2020-05-28
73,Guinea,Africa,"3,553",+278,22 ,+2,"1,950","1,581",24,271,2,"14,407","1,100","13,096,527",2020-05-28
74,Uzbekistan,Asia,"3,444",+75,14 ,,"2,694",736,4,103,0.4,"460,000","13,763","33,423,219",2020-05-28
75,Senegal,Africa,"3,348",+95,39 ,+1,"1,686","1,623",18,200,2,"38,508","2,306","16,699,197",2020-05-28
76,Thailand,Asia,"3,065",+11,57 ,,"2,945",63,59,44,0.8,"375,453","5,380","69,784,490",2020-05-28
77,Djibouti,Africa,"2,914",+217,20 ,+2,"1,241","1,653",,"2,953",20,"25,257","25,599","986,638",2020-05-28
78,Greece,Europe,"2,906",+3,175 ,+2,"1,374","1,357",16,279,17,"170,467","16,348","10,427,362",2020-05-28
79,DRC,Africa,"2,660",+114,69 ,+1,381,"2,210",,30,0.8,,,"89,279,074",2020-05-28
80,Ivory Coast,Africa,"2,641",+85,32 ,+1,"1,326","1,283",,100,1,"26,021",989,"26,312,643",2020-05-28
81,Bulgaria,Europe,"2,477",+17,134 ,+1,965,"1,378",22,356,19,"77,664","11,170","6,952,801",2020-05-28
82,Bosnia and Herzegovina,Europe,"2,462",+27,153 ,+2,"1,781",528,4,750,47,"62,567","19,061","3,282,532",2020-05-28
83,Gabon,Africa,"2,431",+112,14 ,,668,"1,749",15,"1,095",6,"12,669","5,705","2,220,492",2020-05-28
84,Croatia,Europe,"2,245",+1,102 ,+1,"2,051",92,5,547,25,"65,094","15,848","4,107,393",2020-05-28
85,El Salvador,North America,"2,194",+85,39 ,+2,"1,002","1,153",32,338,6,"82,243","12,685","6,483,267",2020-05-28
86,North Macedonia,Europe,"2,077",+38,121 ,+2,"1,486",470,21,997,58,"27,023","12,971","2,083,381",2020-05-28
87,Cuba,North America,"1,983",+9,82 ,,"1,734",167,2,175,7,"99,745","8,806","11,327,216",2020-05-28
88,Estonia,Europe,"1,851",+11,66 ,,"1,574",211,,"1,395",50,"80,724","60,857","1,326,457",2020-05-28
89,Somalia,Africa,"1,828",+97,72 ,+5,310,"1,446",2,115,5,,,"15,847,882",2020-05-28
90,Iceland,Europe,"1,805",,10 ,,"1,792",3,,"5,293",29,"60,141","176,344","341,043",2020-05-28
91,Mayotte,Africa,"1,670",+25,21 ,+1,"1,315",334,10,"6,136",77,"5,200","19,107","272,156",2020-05-28
92,Lithuania,Europe,"1,656",+9,68 ,+2,"1,193",395,17,608,25,"287,982","105,669","2,725,331",2020-05-28
93,Kenya,Africa,"1,618",+147,58 ,+3,421,"1,139",7,30,1,"70,172","1,308","53,654,106",2020-05-28
94,Kyrgyzstan,Asia,"1,594",+74,16 ,,"1,066",512,4,245,2,"109,521","16,813","6,513,873",2020-05-28
95,Sri Lanka,Asia,"1,530",+61,10 ,,745,775,1,71,0.5,"59,165","2,764","21,405,231",2020-05-28
96,Slovakia,Europe,"1,520",+5,28 ,,"1,332",160,,278,5,"165,714","30,354","5,459,411",2020-05-28
97,Maldives,Asia,"1,513",+56,5 ,,197,"1,311",9,"2,804",9,"11,775","21,821","539,625",2020-05-28
98,New Zealand,Australia/Oceania,"1,504",,22 ,+1,"1,474",8,,301,4,"271,690","54,315","5,002,100 ",2020-05-28
99,Slovenia,Europe,"1,473",+2,108 ,,"1,356",9,2,709,52,"78,578","37,798","2,078,913",2020-05-28
100,Venezuela,South America,"1,325",+80,11 ,,302,"1,012",4,47,0.4,"897,695","31,561","28,442,842",2020-05-28
101,Haiti,North America,"1,320",+146,34 ,+1,22,"1,264",,116,3,"3,475",305,"11,389,523",2020-05-28
102,Guinea-Bissau,Africa,"1,195",,8 ,+1,42,"1,145",,609,4,"1,500",764,"1,963,357",2020-05-28
103,Mali,Africa,"1,194",+78,72 ,+2,652,470,,59,4,"3,483",173,"20,190,889",2020-05-28
104,Lebanon,Asia,"1,168",+7,26 ,,699,443,7,171,4,"78,947","11,562","6,828,038",2020-05-28
105,Albania,Europe,"1,076",+26,33 ,,823,220,3,374,11,"13,993","4,862","2,878,069",2020-05-28
106,Tunisia,Africa,"1,068",+17,48 ,,938,82,2,90,4,"49,951","4,231","11,807,164",2020-05-28
107,Hong Kong,Asia,"1,067",,4 ,,"1,035",28,1,142,0.5,"202,930","27,088","7,491,423",2020-05-28
108,Latvia,Europe,"1,061",+4,24 ,+1,741,296,3,562,13,"105,504","55,884","1,887,898",2020-05-28
109,Zambia,Africa,"1,057",,7 ,,779,271,1,58,0.4,"24,275","1,324","18,331,278",2020-05-28
110,Equatorial Guinea,Africa,"1,043",,12 ,,165,866,,746,9,854,611,"1,398,140",2020-05-28
111,Nepal,Asia,"1,042",+156,5 ,+1,187,850,,36,0.2,"162,730","5,595","29,086,128",2020-05-28
112,Costa Rica,North America,"1,000",+16,10 ,,646,344,2,196,2,"24,897","4,892","5,089,842",2020-05-28
113,South Sudan,Africa,994,,10 ,,6,978,,89,0.9,"3,356",300,"11,181,480",2020-05-28
114,Niger,Africa,955,+3,64 ,+1,803,88,,40,3,"6,020",250,"24,112,822",2020-05-28
115,Cyprus,Asia,941,+2,17 ,,784,140,4,780,14,"111,270","92,221","1,206,560",2020-05-28
116,Paraguay,South America,900,+16,11 ,,402,487,1,126,2,"27,425","3,849","7,124,337",2020-05-28
117,Burkina Faso,Africa,847,+2,53 ,,719,75,,41,3,,,"20,844,819",2020-05-28
118,Ethiopia,Africa,831,+100,7 ,+1,191,633,1,7,0.06,"96,566",842,"114,677,457",2020-05-28
119,Sierra Leone,Africa,812,+30,45 ,,361,406,,102,6,,,"7,961,085",2020-05-28
120,Uruguay,South America,811,+8,22 ,,654,135,5,234,6,"41,469","11,942","3,472,659",2020-05-28
121,Andorra,Europe,763,,51 ,,681,31,3,"9,877",660,"3,750","48,541","77,254",2020-05-28
122,Nicaragua,North America,759,,35 ,,370,354,,115,5,,,"6,617,193",2020-05-28
123,CAR,Africa,755,+53,1 ,,23,731,,157,0.2,"11,570","2,400","4,821,674",2020-05-28
124,Georgia,Asia,738,+3,12 ,,573,153,6,185,3,"52,117","13,062","3,989,827",2020-05-28
125,Jordan,Asia,728,+8,9 ,,497,222,5,71,0.9,"177,092","17,373","10,193,780",2020-05-28
126,Chad,Africa,726,+11,65 ,+1,413,248,,44,4,,,"16,377,454",2020-05-28
127,Diamond Princess,Other,712,,13 ,,651,48,4,,,,, ,2020-05-28
128,San Marino,Europe,670,+3,42 ,,322,306,1,"19,749","1,238","4,303","126,839","33,925",2020-05-28
129,Madagascar,Africa,656,+44,2 ,,154,500,10,24,0.07,"9,848",357,"27,619,112",2020-05-28
130,Malta,Europe,616,+4,7 ,,501,108,1,"1,395",16,"65,471","148,313","441,439",2020-05-28
131,Congo,Africa,571,,19 ,,161,391,,104,3,,,"5,504,452",2020-05-28
132,Jamaica,North America,569,+5,9 ,,279,281,2,192,3,"11,259","3,804","2,960,012",2020-05-28
133,Channel Islands,Europe,560,,45 ,,512,3,,"3,224",259,"10,255","59,033","173,716",2020-05-28
134,Tanzania,Africa,509,,21 ,,183,305,7,9,0.4,,,"59,559,672",2020-05-28
135,Réunion,Africa,465,+5,1 ,,411,53,1,520,1,"17,200","19,224","894,731",2020-05-28
136,Sao Tome and Principe,Africa,458,+15,12 ,,68,378,,"2,094",55,175,800,"218,764",2020-05-28
137,Palestine,Asia,446,+12,3 ,,368,75,,88,0.6,"44,876","8,817","5,089,600",2020-05-28
138,Taiwan,Asia,441,,7 ,,420,14,,19,0.3,"71,581","3,006","23,812,979",2020-05-28
139,French Guiana,South America,436,+30,1 ,,161,274,2,"1,464",3,,,"297,899",2020-05-28
140,Togo,Africa,422,+27,13 ,,197,212,,51,2,"18,696","2,264","8,259,373",2020-05-28
141,Cabo Verde,Africa,390,,4 ,,155,231,,702,7,"1,307","2,353","555,426",2020-05-28
142,Rwanda,Africa,349,+3, ,,245,104,,27,,"64,268","4,974","12,919,954",2020-05-28
143,Mauritania,Africa,346,+54,19 ,+3,15,312,,75,4,"2,583",557,"4,637,273",2020-05-28
144,Isle of Man,Europe,336,,24 ,,306,6,2,"3,953",282,"4,732","55,675","84,993",2020-05-28
145,Mauritius,Africa,334,,10 ,,322,2,,263,8,"111,358","87,574","1,271,582",2020-05-28
146,Vietnam,Asia,327,, ,,278,49,1,3,,"275,000","2,828","97,258,136",2020-05-28
147,Montenegro,Europe,324,,9 ,,315,0,,516,14,"10,167","16,188","628,059",2020-05-28
148,Uganda,Africa,317,+36, ,,69,248,,7,,"90,832","1,992","45,590,239",2020-05-28
149,Eswatini,Africa,279,+7,2 ,,168,109,,241,2,"4,994","4,309","1,159,052",2020-05-28
150,Yemen,Asia,278,+22,57 ,+4,11,210,,9,2,120,4,"29,760,970",2020-05-28
151,Liberia,Africa,269,+3,27 ,,144,98,,53,5,,,"5,045,821",2020-05-28
152,Mozambique,Africa,233,+6,2 ,+1,82,149,,7,0.06,"9,036",290,"31,165,836",2020-05-28
153,Benin,Africa,210,,3 ,,134,73,,17,0.2,"28,324","2,343","12,091,039",2020-05-28
154,Myanmar,Asia,206,,6 ,,126,74,,4,0.1,"22,791",419,"54,376,742",2020-05-28
155,Malawi,Africa,203,+102,4 ,,37,162,1,11,0.2,"3,372",177,"19,079,984",2020-05-28
156,Martinique,North America,197,,14 ,,91,92,,525,37,,,"375,290",2020-05-28
157,Faeroe Islands,Europe,187,, ,,187,0,,"3,828",,"9,466","193,793","48,846",2020-05-28
158,Guadeloupe,North America,161,,14 ,,115,32,3,402,35,"3,573","8,930","400,118",2020-05-28
159,Mongolia,Asia,161,+13, ,,43,118,11,49,,"13,225","4,040","3,273,239",2020-05-28
160,Gibraltar,Europe,158,+1, ,,147,11,,"4,690",,"7,073","209,931","33,692",2020-05-28
161,Guyana,South America,150,+11,11 ,,67,72,2,191,14,"1,559","1,983","786,212",2020-05-28
162,Zimbabwe,Africa,149,+17,4 ,,28,117,,10,0.3,"37,039","2,495","14,842,405",2020-05-28
163,Brunei ,Asia,141,,2 ,,138,1,2,323,5,"18,707","42,799","437,093",2020-05-28
164,Bermuda,North America,140,+1,9 ,,92,39,2,"2,247",144,"6,941","111,416","62,298",2020-05-28
165,Cayman Islands,North America,140,,1 ,,67,72,,"2,133",15,"10,466","159,421","65,650",2020-05-28
166,Cambodia,Asia,124,, ,,122,2,1,7,,"18,392","1,102","16,697,111",2020-05-28
167,Syria,Asia,122,+1,4 ,,43,75,,7,0.2,,,"17,458,055",2020-05-28
168,Trinidad and Tobago,North America,116,,8 ,,108,0,,83,6,"3,107","2,221","1,399,086",2020-05-28
169,Libya,Africa,105,+6,5 ,+1,41,59,,15,0.7,"5,154",751,"6,862,479",2020-05-28
170,Aruba,North America,101,,3 ,,98,0,3,946,28,"2,105","19,723","106,726",2020-05-28
171,Bahamas,North America,100,,11 ,,46,43,1,255,28,"2,043","5,200","392,898",2020-05-28
172,Monaco,Europe,98,,4 ,,90,4,2,"2,499",102,,,"39,217",2020-05-28
173,Barbados,North America,92,,7 ,,76,9,1,320,24,"5,201","18,100","287,344",2020-05-28
174,Comoros,Africa,87,,2 ,,24,61,,100,2,,,"867,776",2020-05-28
175,Liechtenstein,Europe,82,,1 ,,55,26,,"2,151",26,900,"23,611","38,118",2020-05-28
176,Sint Maarten,North America,77,,15 ,,60,2,1,"1,798",350,438,"10,226","42,831",2020-05-28
177,Angola,Africa,74,+3,4 ,,18,52,,2,0.1,"10,000",305,"32,759,848",2020-05-28
178,French Polynesia,Australia/Oceania,60,, ,,60,0,,214,,"4,006","14,268","280,762",2020-05-28
179,Macao,Asia,45,, ,,45,0,,69,,,,"648,500",2020-05-28
180,Burundi,Africa,42,,1 ,,20,21,,4,0.08,284,24,"11,854,190",2020-05-28
181,Saint Martin,North America,40,,3 ,,33,4,1,"1,036",78,553,"14,325","38,603",2020-05-28
182,Eritrea,Africa,39,, ,,39,0,,11,,,,"3,541,785",2020-05-28
183,Botswana,Africa,35,,1 ,,20,14,,15,0.4,"17,991","7,666","2,346,977",2020-05-28
184,Bhutan,Asia,31,+3, ,,6,25,,40,,"15,862","20,578","770,818",2020-05-28
185,Antigua and Barbuda,North America,25,,3 ,,19,3,1,255,31,183,"1,870","97,855",2020-05-28
186,Gambia,Africa,25,,1 ,,19,5,,10,0.4,"1,730",718,"2,409,718",2020-05-28
187,St. Vincent Grenadines,North America,25,+7, ,,14,11,,225,,216,"1,948","110,909",2020-05-28
188,Timor-Leste,Asia,24,, ,,24,0,,18,,"1,290",980,"1,316,002",2020-05-28
189,Grenada,North America,23,, ,,18,5,4,204,,"3,007","26,735","112,476",2020-05-28
190,Namibia,Africa,22,, ,,14,8,,9,,"3,370","1,329","2,536,452",2020-05-28
191,Laos,Asia,19,, ,,16,3,,3,,"6,066",835,"7,265,550",2020-05-28
192,New Caledonia,Australia/Oceania,19,+1, ,,18,1,,67,,"6,416","22,493","285,245",2020-05-28
193,Belize,North America,18,,2 ,,16,0,,45,5,"1,517","3,822","396,929",2020-05-28
194,Curaçao,North America,18,,1 ,,14,3,,110,6,572,"3,487","164,033",2020-05-28
195,Fiji,Australia/Oceania,18,, ,,15,3,,20,,"2,431","2,714","895,854",2020-05-28
196,Saint Lucia,North America,18,, ,,18,0,,98,,965,"5,257","183,552",2020-05-28
197,Dominica,North America,16,, ,,16,0,,222,,433,"6,016","71,970",2020-05-28
198,Saint Kitts and Nevis,North America,15,, ,,15,0,,282,,394,"7,411","53,165",2020-05-28
199,Falkland Islands,South America,13,, ,,13,0,,"3,746",,503,"144,957","3,470",2020-05-28
200,Greenland,North America,13,, ,,11,2,,229,,"2,030","35,764","56,761",2020-05-28
201,Suriname,South America,12,,1 ,,9,2,,20,2,782,"1,334","586,149",2020-05-28
202,Turks and Caicos,North America,12,,1 ,,10,1,,310,26,129,"3,336","38,668",2020-05-28
203,Vatican City,Europe,12,, ,,2,10,,"14,981",,,,801,2020-05-28
204,Montserrat,North America,11,,1 ,,10,0,,"2,204",200,36,"7,212","4,992",2020-05-28
205,Seychelles,Africa,11,, ,,11,0,,112,,,,"98,292",2020-05-28
206,MS Zaandam,Other,9,,2 ,,,7,,,,,, ,2020-05-28
207,Western Sahara,Africa,9,,1 ,,6,2,,15,2,,,"595,865",2020-05-28
208,British Virgin Islands,North America,8,,1 ,,7,0,,265,33,167,"5,527","30,213",2020-05-28
209,Papua New Guinea,Australia/Oceania,8,, ,,8,0,,0.9,,"2,402",269,"8,930,545",2020-05-28
210,Caribbean Netherlands,North America,6,, ,,6,0,,229,,424,"16,183","26,201",2020-05-28
211,St. Barth,North America,6,, ,,6,0,,608,,137,"13,875","9,874",2020-05-28
212,Anguilla,North America,3,, ,,3,0,,200,,30,"2,001","14,991",2020-05-28
213,Lesotho,Africa,2,, ,,1,1,,0.9,,283,132,"2,140,699",2020-05-28
214,Saint Pierre Miquelon,North America,1,, ,,1,0,,173,,,,"5,796",2020-05-28
0,China,Asia,"82,995",,"4,634 ",,"78,291",70,4,58,3,,,"1,439,323,776 ",2020-05-29
1,USA,North America,"1,793,530","+25,069","104,542 ","+1,212","519,569","1,169,419","17,204","5,421",316,"16,810,778","50,814","330,832,890",2020-05-29
2,Brazil,South America,"468,338","+29,526","27,944 ","+1,180","193,181","247,213","8,318","2,205",132,"930,013","4,378","212,426,274",2020-05-29
3,Russia,Europe,"387,623","+8,572","4,374 ",+232,"159,257","223,992","2,300","2,656",30,"10,000,061","68,527","145,929,167",2020-05-29
4,Spain,Europe,"285,644",+658,"27,121 ",+2,"196,958","61,565",617,"6,110",580,"3,556,567","76,071","46,753,246",2020-05-29
5,UK,Europe,"271,222","+2,095","38,161 ",+324,,,"1,559","3,997",562,"4,043,686","59,593","67,854,937",2020-05-29
6,Italy,Europe,"232,248",+516,"33,229 ",+87,"152,844","46,175",475,"3,841",550,"3,755,279","62,102","60,469,262",2020-05-29
7,France,Europe,"186,835",+597,"28,714 ",+52,"67,803","90,318","1,361","2,863",440,"1,384,633","21,217","65,261,155",2020-05-29
8,Germany,Europe,"183,019",+567,"8,594 ",+24,"164,100","10,325",729,"2,185",103,"3,952,971","47,194","83,760,886",2020-05-29
9,India,Asia,"173,491","+8,105","4,980 ",+269,"82,627","85,884","8,944",126,4,"3,483,838","2,527","1,378,789,216",2020-05-29
10,Turkey,Asia,"162,120","+1,141","4,489 ",+28,"125,963","31,668",662,"1,924",53,"1,964,364","23,314","84,257,335",2020-05-29
11,Peru,South America,"148,285","+6,506","4,230 ",+131,"62,791","81,264",926,"4,503",128,"963,617","29,263","32,929,707",2020-05-29
12,Iran,Asia,"146,668","+2,819","7,677 ",+50,"114,931","24,060","2,547","1,748",92,"896,571","10,687","83,894,952",2020-05-29
13,Chile,South America,"90,638","+3,695",944 ,+54,"38,598","51,096","1,350","4,745",49,"546,506","28,610","19,101,613",2020-05-29
14,Canada,North America,"89,418",+906,"6,979 ",+102,"47,518","34,921","1,618","2,371",185,"1,596,449","42,332","37,712,703",2020-05-29
15,Saudi Arabia,Asia,"81,766","+1,581",458 ,+17,"57,013","24,295",384,"2,352",13,"787,465","22,652","34,763,636",2020-05-29
16,Mexico,North America,"81,400","+3,377","9,044 ",+447,"56,638","15,718",378,632,70,"244,858","1,901","128,810,940",2020-05-29
17,Pakistan,Asia,"64,028","+2,801","1,317 ",+57,"22,305","40,406",111,290,6,"520,017","2,359","220,485,909",2020-05-29
18,Belgium,Europe,"58,061",+212,"9,430 ",+42,"15,682","32,949",187,"5,012",814,"836,879","72,237","11,585,252",2020-05-29
19,Qatar,Asia,"52,907","+1,993",36 ,+3,"20,604","32,267",216,"18,393",13,"212,897","74,012","2,876,510",2020-05-29
20,Netherlands,Europe,"46,126",+176,"5,931 ",+28,,,180,"2,692",346,"348,256","20,328","17,131,629",2020-05-29
21,Bangladesh,Asia,"42,844","+2,523",582 ,+23,"9,015","33,247",1,260,4,"287,067","1,745","164,542,316",2020-05-29
22,Belarus,Europe,"40,764",+906,224 ,+5,"17,390","23,150",92,"4,314",24,"512,418","54,227","9,449,585",2020-05-29
23,Ecuador,South America,"38,571",+100,"3,334 ",+21,"19,190","16,047",220,"2,189",189,"113,808","6,460","17,618,288",2020-05-29
